experiment_id,reviewer_id,image_id,dataset_index,class_id,class_name,cutoff_radius,layout_score,identity_score,high_localization_score,ambiguous,failure_category,comment
E004,B,cifar10-test-00008,8,3,cat,4,,,,,,
E004,B,cifar10-test-00008,8,3,cat,5,,,,,,
E004,B,cifar10-test-00008,8,3,cat,6,,,,,,
E004,B,cifar10-test-00008,8,3,cat,8,,,,,,
E004,B,cifar10-test-00022,22,4,deer,2,,,,,,
E004,B,cifar10-test-00022,22,4,deer,3,,,,,,
E004,B,cifar10-test-00022,22,4,deer,4,,,,,,
E004,B,cifar10-test-00022,22,4,deer,5,,,,,,
E004,B,cifar10-test-00022,22,4,deer,6,,,,,,
E004,B,cifar10-test-00022,22,4,deer,8,,,,,,
E004,B,cifar10-test-00026,26,4,deer,2,,,,,,
E004,B,cifar10-test-00026,26,4,deer,3,,,,,,
E004,B,cifar10-test-00026,26,4,deer,4,,,,,,
E004,B,cifar10-test-00026,26,4,deer,5,,,,,,
E004,B,cifar10-test-00026,26,4,deer,6,,,,,,
E004,B,cifar10-test-00026,26,4,deer,8,,,,,,
E004,B,cifar10-test-00012,12,5,dog,2,,,,,,
E004,B,cifar10-test-00012,12,5,dog,3,,,,,,
E004,B,cifar10-test-00012,12,5,dog,4,,,,,,
E004,B,cifar10-test-00012,12,5,dog,5,,,,,,
E004,B,cifar10-test-00012,12,5,dog,6,,,,,,
E004,B,cifar10-test-00012,12,5,dog,8,,,,,,
E004,B,cifar10-test-00016,16,5,dog,2,,,,,,
E004,B,cifar10-test-00016,16,5,dog,3,,,,,,
E004,B,cifar10-test-00016,16,5,dog,4,,,,,,
E004,B,cifar10-test-00016,16,5,dog,5,,,,,,
E004,B,cifar10-test-00016,16,5,dog,6,,,,,,
E004,B,cifar10-test-00016,16,5,dog,8,,,,,,
E004,B,cifar10-test-00004,4,6,frog,2,,,,,,
E004,B,cifar10-test-00004,4,6,frog,3,,,,,,
E004,B,cifar10-test-00004,4,6,frog,4,,,,,,
E004,B,cifar10-test-00004,4,6,frog,5,,,,,,
E004,B,cifar10-test-00004,4,6,frog,6,,,,,,
E004,B,cifar10-test-00004,4,6,frog,8,,,,,,
E004,B,cifar10-test-00005,5,6,frog,2,,,,,,
E004,B,cifar10-test-00005,5,6,frog,3,,,,,,
E004,B,cifar10-test-00005,5,6,frog,4,,,,,,
E004,B,cifar10-test-00005,5,6,frog,5,,,,,,
E004,B,cifar10-test-00005,5,6,frog,6,,,,,,
E004,B,cifar10-test-00005,5,6,frog,8,,,,,,
E004,B,cifar10-test-00013,13,7,horse,2,,,,,,
E004,B,cifar10-test-00013,13,7,horse,3,,,,,,
E004,B,cifar10-test-00013,13,7,horse,4,,,,,,
E004,B,cifar10-test-00013,13,7,horse,5,,,,,,
E004,B,cifar10-test-00013,13,7,horse,6,,,,,,
E004,B,cifar10-test-00013,13,7,horse,8,,,,,,
E004,B,cifar10-test-00017,17,7,horse,2,,,,,,
E004,B,cifar10-test-00017,17,7,horse,3,,,,,,
E004,B,cifar10-test-00017,17,7,horse,4,,,,,,
E004,B,cifar10-test-00017,17,7,horse,5,,,,,,
E004,B,cifar10-test-00017,17,7,horse,6,,,,,,
E004,B,cifar10-test-00017,17,7,horse,8,,,,,,
E004,B,cifar10-test-00001,1,8,ship,2,,,,,,
E004,B,cifar10-test-00001,1,8,ship,3,,,,,,
E004,B,cifar10-test-00001,1,8,ship,4,,,,,,
E004,B,cifar10-test-00001,1,8,ship,5,,,,,,
E004,B,cifar10-test-00001,1,8,ship,6,,,,,,
E004,B,cifar10-test-00001,1,8,ship,8,,,,,,
E004,B,cifar10-test-00002,2,8,ship,2,,,,,,
E004,B,cifar10-test-00002,2,8,ship,3,,,,,,
E004,B,cifar10-test-00002,2,8,ship,4,,,,,,
E004,B,cifar10-test-00002,2,8,ship,5,,,,,,
E004,B,cifar10-test-00002,2,8,ship,6,,,,,,
E004,B,cifar10-test-00002,2,8,ship,8,,,,,,
E004,B,cifar10-test-00011,11,9,truck,2,,,,,,
E004,B,cifar10-test-00011,11,9,truck,3,,,,,,
E004,B,cifar10-test-00011,11,9,truck,4,,,,,,
E004,B,cifar10-test-00011,11,9,truck,5,,,,,,
E004,B,cifar10-test-00011,11,9,truck,6,,,,,,
E004,B,cifar10-test-00011,11,9,truck,8,,,,,,
E004,B,cifar10-test-00014,14,9,truck,2,,,,,,
E004,B,cifar10-test-00014,14,9,truck,3,,,,,,
E004,B,cifar10-test-00014,14,9,truck,4,,,,,,
E004,B,cifar10-test-00014,14,9,truck,5,,,,,,
E004,B,cifar10-test-00014,14,9,truck,6,,,,,,
E004,B,cifar10-test-00014,14,9,truck,8,,,,,,
